"Name","Label","Concept","Required","Attributes","Limit","Predicate Type","Group"
"C24010_006MA","Annotation of Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations","","predicate-only","","0","string","C24010"
"C24010_007E","Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_007EA","Annotation of Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations","","predicate-only","","0","string","C24010"
"C24010_007M","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_007MA","Annotation of Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations","","predicate-only","","0","string","C24010"
"C24010_008E","Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_008EA","Annotation of Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations","","predicate-only","","0","string","C24010"
"C24010_008M","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_008MA","Annotation of Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations","","predicate-only","","0","string","C24010"
"C24010_009E","Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_009EA","Annotation of Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations","","predicate-only","","0","string","C24010"
"C24010_009M","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_009MA","Annotation of Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations","","predicate-only","","0","string","C24010"
"C24010_010E","Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_010EA","Annotation of Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations","","predicate-only","","0","string","C24010"
"C24010_010M","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_010MA","Annotation of Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations","","predicate-only","","0","string","C24010"
"C24010_011E","Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_011EA","Annotation of Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations","","predicate-only","","0","string","C24010"
"C24010_011M","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_011MA","Annotation of Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations","","predicate-only","","0","string","C24010"
"C24010_012E","Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social service occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_012EA","Annotation of Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social service occupations","","predicate-only","","0","string","C24010"
"C24010_012M","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social service occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_012MA","Annotation of Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social service occupations","","predicate-only","","0","string","C24010"
"C24010_013E","Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_013EA","Annotation of Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations","","predicate-only","","0","string","C24010"
"C24010_013M","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_013MA","Annotation of Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations","","predicate-only","","0","string","C24010"
"C24010_014E","Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Educational instruction, and library occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_014EA","Annotation of Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Educational instruction, and library occupations","","predicate-only","","0","string","C24010"
"C24010_014M","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Educational instruction, and library occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_014MA","Annotation of Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Educational instruction, and library occupations","","predicate-only","","0","string","C24010"
"C24010_015E","Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_015EA","Annotation of Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations","","predicate-only","","0","string","C24010"
"C24010_015M","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_015MA","Annotation of Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations","","predicate-only","","0","string","C24010"
"C24010_016E","Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Healthcare practitioners and technical occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_016EA","Annotation of Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Healthcare practitioners and technical occupations","","predicate-only","","0","string","C24010"
"C24010_016M","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Healthcare practitioners and technical occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_016MA","Annotation of Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Healthcare practitioners and technical occupations","","predicate-only","","0","string","C24010"
"C24010_017E","Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Healthcare practitioners and technical occupations!!Health diagnosing and treating practitioners and other technical occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_017EA","Annotation of Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Healthcare practitioners and technical occupations!!Health diagnosing and treating practitioners and other technical occupations","","predicate-only","","0","string","C24010"
"C24010_017M","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Healthcare practitioners and technical occupations!!Health diagnosing and treating practitioners and other technical occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_017MA","Annotation of Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Healthcare practitioners and technical occupations!!Health diagnosing and treating practitioners and other technical occupations","","predicate-only","","0","string","C24010"
"C24010_018E","Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Healthcare practitioners and technical occupations!!Health technologists and technicians","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_018EA","Annotation of Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Healthcare practitioners and technical occupations!!Health technologists and technicians","","predicate-only","","0","string","C24010"
"C24010_018M","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Healthcare practitioners and technical occupations!!Health technologists and technicians","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_018MA","Annotation of Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Healthcare practitioners and technical occupations!!Health technologists and technicians","","predicate-only","","0","string","C24010"
"C24010_019E","Estimate!!Total!!Male!!Service occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_019EA","Annotation of Estimate!!Total!!Male!!Service occupations","","predicate-only","","0","string","C24010"
"C24010_019M","Margin of Error!!Total!!Male!!Service occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_019MA","Annotation of Margin of Error!!Total!!Male!!Service occupations","","predicate-only","","0","string","C24010"
"C24010_020E","Estimate!!Total!!Male!!Service occupations!!Healthcare support occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_020EA","Annotation of Estimate!!Total!!Male!!Service occupations!!Healthcare support occupations","","predicate-only","","0","string","C24010"
"C24010_020M","Margin of Error!!Total!!Male!!Service occupations!!Healthcare support occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_020MA","Annotation of Margin of Error!!Total!!Male!!Service occupations!!Healthcare support occupations","","predicate-only","","0","string","C24010"
"C24010_021E","Estimate!!Total!!Male!!Service occupations!!Protective service occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_021EA","Annotation of Estimate!!Total!!Male!!Service occupations!!Protective service occupations","","predicate-only","","0","string","C24010"
"C24010_021M","Margin of Error!!Total!!Male!!Service occupations!!Protective service occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_021MA","Annotation of Margin of Error!!Total!!Male!!Service occupations!!Protective service occupations","","predicate-only","","0","string","C24010"
"C24010_022E","Estimate!!Total!!Male!!Service occupations!!Protective service occupations!!Firefighting and prevention, and other protective service workers including supervisors","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_022EA","Annotation of Estimate!!Total!!Male!!Service occupations!!Protective service occupations!!Firefighting and prevention, and other protective service workers including supervisors","","predicate-only","","0","string","C24010"
"C24010_022M","Margin of Error!!Total!!Male!!Service occupations!!Protective service occupations!!Firefighting and prevention, and other protective service workers including supervisors","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_022MA","Annotation of Margin of Error!!Total!!Male!!Service occupations!!Protective service occupations!!Firefighting and prevention, and other protective service workers including supervisors","","predicate-only","","0","string","C24010"
"C24010_023E","Estimate!!Total!!Male!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_023EA","Annotation of Estimate!!Total!!Male!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors","","predicate-only","","0","string","C24010"
"C24010_023M","Margin of Error!!Total!!Male!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_023MA","Annotation of Margin of Error!!Total!!Male!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors","","predicate-only","","0","string","C24010"
"C24010_024E","Estimate!!Total!!Male!!Service occupations!!Food preparation and serving related occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_024EA","Annotation of Estimate!!Total!!Male!!Service occupations!!Food preparation and serving related occupations","","predicate-only","","0","string","C24010"
"C24010_024M","Margin of Error!!Total!!Male!!Service occupations!!Food preparation and serving related occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_024MA","Annotation of Margin of Error!!Total!!Male!!Service occupations!!Food preparation and serving related occupations","","predicate-only","","0","string","C24010"
"C24010_025E","Estimate!!Total!!Male!!Service occupations!!Building and grounds cleaning and maintenance occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_025EA","Annotation of Estimate!!Total!!Male!!Service occupations!!Building and grounds cleaning and maintenance occupations","","predicate-only","","0","string","C24010"
"C24010_025M","Margin of Error!!Total!!Male!!Service occupations!!Building and grounds cleaning and maintenance occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_025MA","Annotation of Margin of Error!!Total!!Male!!Service occupations!!Building and grounds cleaning and maintenance occupations","","predicate-only","","0","string","C24010"
"C24010_026E","Estimate!!Total!!Male!!Service occupations!!Personal care and service occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_026EA","Annotation of Estimate!!Total!!Male!!Service occupations!!Personal care and service occupations","","predicate-only","","0","string","C24010"
"C24010_026M","Margin of Error!!Total!!Male!!Service occupations!!Personal care and service occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_026MA","Annotation of Margin of Error!!Total!!Male!!Service occupations!!Personal care and service occupations","","predicate-only","","0","string","C24010"
"C24010_027E","Estimate!!Total!!Male!!Sales and office occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_027EA","Annotation of Estimate!!Total!!Male!!Sales and office occupations","","predicate-only","","0","string","C24010"
"C24010_027M","Margin of Error!!Total!!Male!!Sales and office occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_027MA","Annotation of Margin of Error!!Total!!Male!!Sales and office occupations","","predicate-only","","0","string","C24010"
"C24010_028E","Estimate!!Total!!Male!!Sales and office occupations!!Sales and related occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_028EA","Annotation of Estimate!!Total!!Male!!Sales and office occupations!!Sales and related occupations","","predicate-only","","0","string","C24010"
"C24010_028M","Margin of Error!!Total!!Male!!Sales and office occupations!!Sales and related occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_028MA","Annotation of Margin of Error!!Total!!Male!!Sales and office occupations!!Sales and related occupations","","predicate-only","","0","string","C24010"
"C24010_029E","Estimate!!Total!!Male!!Sales and office occupations!!Office and administrative support occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_029EA","Annotation of Estimate!!Total!!Male!!Sales and office occupations!!Office and administrative support occupations","","predicate-only","","0","string","C24010"
"C24010_029M","Margin of Error!!Total!!Male!!Sales and office occupations!!Office and administrative support occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_029MA","Annotation of Margin of Error!!Total!!Male!!Sales and office occupations!!Office and administrative support occupations","","predicate-only","","0","string","C24010"
"C24010_030E","Estimate!!Total!!Male!!Natural resources, construction, and maintenance occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_030EA","Annotation of Estimate!!Total!!Male!!Natural resources, construction, and maintenance occupations","","predicate-only","","0","string","C24010"
"C24010_030M","Margin of Error!!Total!!Male!!Natural resources, construction, and maintenance occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_030MA","Annotation of Margin of Error!!Total!!Male!!Natural resources, construction, and maintenance occupations","","predicate-only","","0","string","C24010"
"C24010_031E","Estimate!!Total!!Male!!Natural resources, construction, and maintenance occupations!!Farming, fishing, and forestry occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_031EA","Annotation of Estimate!!Total!!Male!!Natural resources, construction, and maintenance occupations!!Farming, fishing, and forestry occupations","","predicate-only","","0","string","C24010"
"C24010_031M","Margin of Error!!Total!!Male!!Natural resources, construction, and maintenance occupations!!Farming, fishing, and forestry occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_031MA","Annotation of Margin of Error!!Total!!Male!!Natural resources, construction, and maintenance occupations!!Farming, fishing, and forestry occupations","","predicate-only","","0","string","C24010"
"C24010_032E","Estimate!!Total!!Male!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_032EA","Annotation of Estimate!!Total!!Male!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations","","predicate-only","","0","string","C24010"
"C24010_032M","Margin of Error!!Total!!Male!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_032MA","Annotation of Margin of Error!!Total!!Male!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations","","predicate-only","","0","string","C24010"
"C24010_033E","Estimate!!Total!!Male!!Natural resources, construction, and maintenance occupations!!Installation, maintenance, and repair occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_033EA","Annotation of Estimate!!Total!!Male!!Natural resources, construction, and maintenance occupations!!Installation, maintenance, and repair occupations","","predicate-only","","0","string","C24010"
"C24010_033M","Margin of Error!!Total!!Male!!Natural resources, construction, and maintenance occupations!!Installation, maintenance, and repair occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_033MA","Annotation of Margin of Error!!Total!!Male!!Natural resources, construction, and maintenance occupations!!Installation, maintenance, and repair occupations","","predicate-only","","0","string","C24010"
"C24010_034E","Estimate!!Total!!Male!!Production, transportation, and material moving occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_034EA","Annotation of Estimate!!Total!!Male!!Production, transportation, and material moving occupations","","predicate-only","","0","string","C24010"
"C24010_034M","Margin of Error!!Total!!Male!!Production, transportation, and material moving occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_034MA","Annotation of Margin of Error!!Total!!Male!!Production, transportation, and material moving occupations","","predicate-only","","0","string","C24010"
"C24010_035E","Estimate!!Total!!Male!!Production, transportation, and material moving occupations!!Production occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_035EA","Annotation of Estimate!!Total!!Male!!Production, transportation, and material moving occupations!!Production occupations","","predicate-only","","0","string","C24010"
"C24010_035M","Margin of Error!!Total!!Male!!Production, transportation, and material moving occupations!!Production occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_035MA","Annotation of Margin of Error!!Total!!Male!!Production, transportation, and material moving occupations!!Production occupations","","predicate-only","","0","string","C24010"
"C24010_036E","Estimate!!Total!!Male!!Production, transportation, and material moving occupations!!Transportation occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_036EA","Annotation of Estimate!!Total!!Male!!Production, transportation, and material moving occupations!!Transportation occupations","","predicate-only","","0","string","C24010"
"C24010_036M","Margin of Error!!Total!!Male!!Production, transportation, and material moving occupations!!Transportation occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_036MA","Annotation of Margin of Error!!Total!!Male!!Production, transportation, and material moving occupations!!Transportation occupations","","predicate-only","","0","string","C24010"
"C24010_037E","Estimate!!Total!!Male!!Production, transportation, and material moving occupations!!Material moving occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_037EA","Annotation of Estimate!!Total!!Male!!Production, transportation, and material moving occupations!!Material moving occupations","","predicate-only","","0","string","C24010"
